set_name	source	classes	item_id	item_name	slot
Armor of Conjuration	Plane of Growth	MAG	8746	Sleeves of Conjuration	arms
Armor of Conjuration	Plane of Growth	MAG	10889	Wristband of Conjuration	wrist1
Armor of Conjuration	Plane of Growth	MAG	3863	Gloves of Conjuration	hands
Armor of Conjuration	Plane of Growth	MAG	6807	Pantaloons of Conjuration	legs
Armor of Conjuration	Plane of Growth	MAG	1107	Boots of Conjuration	feet
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	10264	Vambraces of Distraction	arms
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	1110	Boots of Distraction	feet
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	1224	Breastplate of Distraction	chest
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	2029	Crown of Distraction	head
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	3864	Gloves of Distraction	hands
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	4150	Greaves of Distraction	legs
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	7558	Robe of Distraction	chest
Armor of Distraction	Plane of Mischief	WAR,CLR,PAL,SHD,BRD,NEC,WIZ,MAG,ENC	10891	Wristguard of Distraction	wrist1
Armor of Forbidden Rites	Thurgadin	CLR	2031	Crown of Forbidden Rites	head
Armor of Forbidden Rites	Thurgadin	CLR	1226	Breastplate of Forbidden Rites	chest
Armor of Forbidden Rites	Thurgadin	CLR	10265	Vambraces of Forbidden Rites	arms
Armor of Forbidden Rites	Thurgadin	CLR	1195	Bracers of Forbidden Rites	wrist1
Armor of Forbidden Rites	Thurgadin	CLR	3703	Gauntlets of Forbidden Rites	hands
Armor of Forbidden Rites	Thurgadin	CLR	4151	Greaves of Forbidden Rites	legs
Armor of Forbidden Rites	Thurgadin	CLR	1111	Boots of Forbidden Rites	feet
Armor of Harmony	Plane of Hate	DRU	2032	Crown of Harmony	head
Armor of Harmony	Plane of Hate	DRU	4334	Hauberk of Harmony	chest
Armor of Harmony	Plane of Hate	DRU	10266	Vambraces of Harmony	arms
Armor of Harmony	Plane of Hate	DRU	10892	Wristguard of Harmony	wrist1
Armor of Harmony	Plane of Hate	DRU	3867	Gloves of Harmony	hands
Armor of Harmony	Plane of Hate	DRU	4152	Greaves of Harmony	legs
Armor of Harmony	Plane of Hate	DRU	7994	Sandals of Harmony	feet
Armor of Stability	Plane of Growth	CLR	2039	Crown of Stability	head
Armor of Stability	Plane of Growth	CLR	1616	Chestplate of Stability	chest
Armor of Stability	Plane of Growth	CLR	10268	Vambraces of Stability	arms
Armor of Stability	Plane of Growth	CLR	1185	Bracer of Stability	wrist1
Armor of Stability	Plane of Growth	CLR	3709	Gauntlets of Stability	hands
Armor of Stability	Plane of Growth	CLR	4154	Greaves of Stability	legs
Armor of Stability	Plane of Growth	CLR	1114	Boots of Stability	feet
Armor of the Bonecaster	Plane of Growth	NEC	2040	Crown of the Bonecaster	head
Armor of the Bonecaster	Plane of Growth	NEC	7567	Robe of the Bonecaster	chest
Armor of the Bonecaster	Plane of Growth	NEC	8748	Sleeves of the Bonecaster	arms
Armor of the Bonecaster	Plane of Growth	NEC	10890	Wristband of the Bonecaster	wrist1
Armor of the Bonecaster	Plane of Growth	NEC	3871	Gloves of the Bonecaster	hands
Armor of the Bonecaster	Plane of Growth	NEC	6808	Pantaloons of the Bonecaster	legs
Armor of the Bonecaster	Plane of Growth	NEC	1118	Boots of the Bonecaster	feet
Armor of the Invoker	Kael Drakkel	WIZ	1697	Circlet of the Invoker	head
Armor of the Invoker	Kael Drakkel	WIZ	7572	Robe of the Invoker	chest
Armor of the Invoker	Kael Drakkel	WIZ	8749	Sleeves of the Invoker	arms
Armor of the Invoker	Kael Drakkel	WIZ	548	Bangle of the Invoker	wrist1
Armor of the Invoker	Kael Drakkel	WIZ	3873	Gloves of the Invoker	hands
Armor of the Invoker	Kael Drakkel	WIZ	6811	Pants of the Invoker	legs
Armor of the Invoker	Kael Drakkel	WIZ	1122	Boots of the Invoker	feet
Armor of the Untamed	Plane of Hate	RNG	4423	Helm of the Untamed	head
Armor of the Untamed	Plane of Hate	RNG	1232	Breastplate of the Untamed	chest
Armor of the Untamed	Plane of Hate	RNG	10273	Vambraces of the Untamed	arms
Armor of the Untamed	Plane of Hate	RNG	1192	Bracer of the Untamed	wrist1
Armor of the Untamed	Plane of Hate	RNG	3715	Gauntlets of the Untamed	hands
Armor of the Untamed	Plane of Hate	RNG	4160	Greaves of the Untamed	legs
Armor of the Untamed	Plane of Hate	RNG	1127	Boots of the Untamed	feet
Assassin's Armor	Plane of Growth	ROG	438	Assassin's Coif	head
Assassin's Armor	Plane of Growth	ROG	437	Assassin's Chestguard	chest
Assassin's Armor	Plane of Growth	ROG	436	Assassin's Chain Sleeves	arms
Assassin's Armor	Plane of Growth	ROG	434	Assassin's Bracer	wrist1
Assassin's Armor	Plane of Growth	ROG	439	Assassin's Gauntlets	hands
Assassin's Armor	Plane of Growth	ROG	435	Assassin's Chain Leggings	legs
Assassin's Armor	Plane of Growth	ROG	433	Assassin's Boots	feet
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	511	Bamboo Splint Boots	feet
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	512	Bamboo Splint Bracelet	wrist1
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	513	Bamboo Splint Cape	back
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	514	Bamboo Splint Coat	chest
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	515	Bamboo Splint Coif	head
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	516	Bamboo Splint Gloves	hands
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	517	Bamboo Splint Mantle	shoulders
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	518	Bamboo Splint Neckguard	neck
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	519	Bamboo Splint Pants	legs
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	520	Bamboo Splint Skirt	waist
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	521	Bamboo Splint Sleeves	arms
Bamboo Splint Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	522	Bamboo Splint Visor	face
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	533	Banded Belt	waist
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	534	Banded Boots	feet
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	535	Banded Bracer	wrist1
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	536	Banded Cloak	back
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	537	Banded Gauntlets	hands
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	538	Banded Gorget	neck
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	539	Banded Helm	head
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	540	Banded Leggings	legs
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	541	Banded Mail	chest
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	542	Banded Mantle	shoulders
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	543	Banded Mask	face
Banded Armor Set	Crafted	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	545	Banded Sleeves	arms
Barbed Ringmail Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	568	Barbed Ringmail	chest
Barbed Ringmail Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	569	Barbed Ringmail Gloves	hands
Barbed Ringmail Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	570	Barbed Ringmail Leggings	legs
Barbed Ringmail Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	571	Barbed Ringmail Shoulderpads	shoulders
Barbed Ringmail Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	572	Barbed Ringmail Sleeves	arms
Bard Thurgadin Armor	Thurgadin	BRD	7457	Resonant Helm	head
Bard Thurgadin Armor	Thurgadin	BRD	7454	Resonant Breastplate	chest
Bard Thurgadin Armor	Thurgadin	BRD	7458	Resonant Vambraces	arms
Bard Thurgadin Armor	Thurgadin	BRD	7453	Resonant Bracer	wrist1
Bard Thurgadin Armor	Thurgadin	BRD	7455	Resonant Gauntlets	hands
Bard Thurgadin Armor	Thurgadin	BRD	7456	Resonant Greaves	legs
Bard Thurgadin Armor	Thurgadin	BRD	7452	Resonant Boots	feet
Beguiler's Armor	Thurgadin	ENC	652	Beguiler's Crown	head
Beguiler's Armor	Thurgadin	ENC	654	Beguiler's Robe	chest
Beguiler's Armor	Thurgadin	ENC	655	Beguiler's Sleeves	arms
Beguiler's Armor	Thurgadin	ENC	658	Beguiler's Wristguard	wrist1
Beguiler's Armor	Thurgadin	ENC	653	Beguiler's Gloves	hands
Beguiler's Armor	Thurgadin	ENC	657	Beguiler's Trousers	legs
Beguiler's Armor	Thurgadin	ENC	656	Beguiler's Slippers	feet
Berserker's Armor	Plane of Growth	WAR	694	Berserker's Helm	head
Berserker's Armor	Plane of Growth	WAR	691	Berserker's Breastplate	chest
Berserker's Armor	Plane of Growth	WAR	695	Berserker's Vambraces	arms
Berserker's Armor	Plane of Growth	WAR	690	Berserker's Bracer	wrist1
Berserker's Armor	Plane of Growth	WAR	692	Berserker's Gauntlets	hands
Berserker's Armor	Plane of Growth	WAR	693	Berserker's Greaves	legs
Berserker's Armor	Plane of Growth	WAR	689	Berserker's Boots	feet
Black Ice Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	742	Black Ice Sleeves	arms
Black Ice Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	740	Black Ice Boots	feet
Black Ice Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	741	Black Ice Leggings	legs
Black Ice Armor	Velketor's Labyrinth	WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	743	Black Ice Wrist Guard	wrist1
Black Pantherskin Set		MNK	753	Black Pantherskin Cloak	back
Black Pantherskin Set		MNK	755	Black Pantherskin Gorget	neck
Black Pantherskin Set		MNK	761	Black Pantherskin Tunic	chest
Black Pantherskin Set		MNK	754	Black Pantherskin Gloves	hands
Black Pantherskin Set		MNK	759	Black Pantherskin Skullcap	head
Black Pantherskin Set		MNK	756	Black Pantherskin Leggings	legs
Black Pantherskin Set		MNK	758	Black Pantherskin Shoulderpads	shoulders
Black Pantherskin Set		MNK	757	Black Pantherskin Mask	face
Black Pantherskin Set		MNK	752	Black Pantherskin Boots	feet
Black Pantherskin Set		MNK	751	Black Pantherskin Belt	waist
Black Pantherskin Set		MNK	760	Black Pantherskin Sleeves	arms
Black Pantherskin Set		MNK	762	Black Pantherskin Wristbands	wrist1
Black Wolf Armor	Halas	ROG	784	Black Wolf Armplates	arms
Black Wolf Armor	Halas	ROG	785	Black Wolf Boots	feet
Black Wolf Armor	Halas	ROG	786	Black Wolf Bracers	wrist1
Black Wolf Armor	Halas	ROG	787	Black Wolf Cape	back
Black Wolf Armor	Halas	ROG	788	Black Wolf Collar	neck
Black Wolf Armor	Halas	ROG	789	Black Wolf Crown	head
Black Wolf Armor	Halas	ROG	790	Black Wolf Gloves	hands
Black Wolf Armor	Halas	ROG	791	Black Wolf Legplates	legs
Black Wolf Armor	Halas	ROG	792	Black Wolf Mail	chest
Black Wolf Armor	Halas	ROG	793	Black Wolf Mask	face
Black Wolf Armor	Halas	ROG	794	Black Wolf Pauldrons	shoulders
Black Wolf Armor	Halas	ROG	797	Black Wolf Waistband	waist
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	811	Blackened Alloy Armplates	arms
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	813	Blackened Alloy Boots	feet
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	814	Blackened Alloy Bracers	wrist1
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	815	Blackened Alloy Coif	head
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	816	Blackened Alloy Collar	neck
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	817	Blackened Alloy Gloves	hands
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	818	Blackened Alloy Legplates	legs
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	820	Blackened Alloy Mail	chest
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	821	Blackened Alloy Spaulder	shoulders
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	822	Blackened Alloy Waistband	waist
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	720	Black Alloy Girdle	waist
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	4227	Grotesque Alloy Mask	face
Blackened Alloy Armor Set		WAR,CLR,PAL,RNG,SHD,MNK,BRD,ROG,SHM	9531	Supple Black Cloak	back
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	825	Blackened Iron Armplates	arms
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	827	Blackened Iron Boots	feet
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	828	Blackened Iron Bracers	wrist1
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	829	Blackened Iron Collar	neck
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	832	Blackened Iron Gloves	hands
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	833	Blackened Iron Legplates	legs
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	834	Blackened Iron Mail	chest
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	835	Blackened Iron Spaulder	shoulders
Blackened Iron Armor Set		WAR,CLR,PAL,RNG,SHD,BRD,ROG,SHM	836	Blackened Iron Waistband	waist
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	890	Blazing Bracer of Fennin Ro	wrist1
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	891	Blazing Breastplate of Fennin Ro	chest
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	894	Blazing Helm of Fennin Ro	head
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	893	Blazing Greaves of Fennin Ro	legs
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	892	Blazing Gauntlets of Fennin Ro	hands
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	889	Blazing Boots of Fennin Ro	feet
Blazing Fennin Ro Armor	Nagafen's Lair	WAR,CLR,PAL,SHD,BRD	895	Blazing Vambraces	arms
Blighted Armor	Plane of Fear	NEC	904	Blighted Armband	wrist1
Blighted Armor	Plane of Fear	NEC	905	Blighted Boots	feet
Blighted Armor	Plane of Fear	NEC	906	Blighted Gloves	hands
Blighted Armor	Plane of Fear	NEC	909	Blighted Robe	chest
Blighted Armor	Plane of Fear	NEC	910	Blighted Skullcap	head
Blighted Armor	Plane of Fear	NEC	911	Blighted Sleeves	arms
Blighted Armor	Plane of Fear	NEC	912	Blighted Trousers	legs
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	941	Blood Ember Helm	head
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	938	Blood Ember Breastplate	chest
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	942	Blood Ember Vambraces	arms
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	937	Blood Ember Bracer	wrist1
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	939	Blood Ember Gauntlets	hands
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	940	Blood Ember Greaves	legs
Blood Ember Armor	Kunark (Trakanon / Venril Sathir)	SHD	936	Blood Ember Boots	feet
Blood Lord's Armor	Skyshrine	SHD	950	Blood Lord's Crown	head
Blood Lord's Armor	Skyshrine	SHD	949	Blood Lord's Breastplate	chest
Blood Lord's Armor	Skyshrine	SHD	953	Blood Lord's Vambraces	arms
Blood Lord's Armor	Skyshrine	SHD	948	Blood Lord's Bracer	wrist1
Blood Lord's Armor	Skyshrine	SHD	951	Blood Lord's Gauntlets	hands
Blood Lord's Armor	Skyshrine	SHD	952	Blood Lord's Greaves	legs
Blood Lord's Armor	Skyshrine	SHD	947	Blood Lord's Boots	feet
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	958	Blood Runed Gauntlets	hands
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	959	Blood Runed Girdle	waist
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	960	Blood Runed Greaves	legs
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	957	Blood Runed Boots	feet
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	961	Blood Runed Scimitar	primary
Blood Runed Armor	Velketor's Labyrinth	WAR,SHD,BRD,ROG	962	Blood Runed Short Sword	primary
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1038	Blue Wicker Boots	feet
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1048	Blue Wicker Wristbands	wrist1
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1039	Blue Wicker Cloak	back
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1047	Blue Wicker Tunic	chest
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1042	Blue Wicker Helm	head
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1040	Blue Wicker Gloves	hands
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1045	Blue Wicker Shoulderpads	shoulders
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1041	Blue Wicker Gorget	neck
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1043	Blue Wicker Leggings	legs
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1037	Blue Wicker Belt	waist
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1046	Blue Wicker Sleeves	arms
Blue Wicker Armor	Stonebrunt Mountains	WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM	1044	Blue Wicker Mask	face
Brigand's Armor	Thurgadin	ROG	1252	Brigand's Circlet	head
Brigand's Armor	Thurgadin	ROG	1251	Brigand's Chestguard	chest
Brigand's Armor	Thurgadin	ROG	1255	Brigand's Vambraces	arms
Brigand's Armor	Thurgadin	ROG	1250	Brigand's Bracer	wrist1
Brigand's Armor	Thurgadin	ROG	1253	Brigand's Gauntlets	hands
Brigand's Armor	Thurgadin	ROG	1254	Brigand's Greaves	legs
Brigand's Armor	Thurgadin	ROG	1249	Brigand's Boots	feet
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1266	Bristle Silk Shawl	shoulders
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1260	Bristle Silk Cap	head
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1261	Bristle Silk Cape	back
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1262	Bristle Silk Gloves	hands
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1263	Bristle Silk Knickerbockers	legs
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1264	Bristle Silk Neckerchief	neck
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1265	Bristle Silk Sash	waist
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1267	Bristle Silk Sleeves	arms
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1268	Bristle Silk Stockings	feet
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1269	Bristle Silk Tunic	chest
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1270	Bristle Silk Veil	face
Bristle Silk Armor		WAR,CLR,PAL,RNG,SHD,DRU,MNK,BRD,ROG,SHM,NEC,WIZ,MAG,ENC	1271	Bristle Silk Wristband	wrist1
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1295	Bronze Breastplate	chest
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1333	Bronze Vambraces	arms
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1303	Bronze Greaves	legs
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1301	Bronze Gauntlets	hands
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1292	Bronze Boots	feet
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1302	Bronze Girdle	waist
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1293	Bronze Bracers	wrist1
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1305	Bronze Helm	head
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1316	Bronze Pauldron	shoulders
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1313	Bronze Mask	face
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	1297	Bronze Collar	neck
Bronze Armor Set	World drop	WAR,CLR,PAL,SHD,BRD	9286	Splinted Bronze Cloak	back
