item_name	spell_name	proc_level
Forged Velium 2-Handed Sword	Velium Shards	25
Forged Velium Dagger	Velium Shards	25
Forged Velium Long Sword	Velium Shards	25
Forged Velium Morning Star	Velium Shards	25
Forged Velium Scimitar	Velium Shards	25
Forged Velium Short Sword	Velium Shards	25
Gnoll Hide Lariat	Stun	25
Iron Bound Tome	Cancel Magic	25
Shaded Torch	Steal Strength	25
Soulfiend Lance	Leech	25
Velium Dagger	Velium Shards	25
Velium Great Staff	Velium Shards	25
Velium Long Sword	Velium Shards	25
Velium Morning Star	Velium Shards	25
Velium Rapier	Velium Shards	25
Velium Scimitar	Velium Shards	25
Velium Short Blade	Velium Shards	25
Velium Short Sword	Velium Shards	25
Velium Two Handed Sword	Velium Shards	25
Velium Warhammer	Velium Shards	25
Luminary Two Handed Sword	Glamour	26
Serrated Bone Dirk	Engulfing Darkness	27
Staff of Writhing	Chaotic Feedback	28
Adamantite Bo Stick	Lightning Storm	30
Axe of the Slayers	Rampage	30
Barbarian Spiritist`s Hammer	Winter's Roar	30
Beetle Stinger	Steal Strength	30
Blight, Hammer of the Scourge	Scourge	30
Blued Two-Handed Hammer	Project Lightning	30
Bronzewood Staff	Stun	30
Burning Rapier	Ignite	30
Coldain Velium-Pick	Velium Shards	30
Deadwood Stave	Lifedraw	30
Drakkel Icereaver	Ice Rend	30
Firerune Brand	Ignite	30
Gold Plated Koshigatana	Dismiss Summoned	30
Gravebinder	Hungry Earth	30
Hierophant`s Crook	Earthquake	30
Man-o-War	Chaotic Feedback	30
Mortificator Staff	Mana Sink	30
Outrider's Taming Whip	Jolt	30
Scorpikis Claw Impaler	Poison	30
Spear of Winter	Spirit Strike	30
Tesch Val Sinisch	Weak Poison	30
a Dark Reaver	Steal Strength	30
Garou Bone Club	Curse of the Garou	32
Chilled Scythe	Blast of Cold	33
Blood Riven Axe	Engulfing Darkness	35
Cazic Quill	Shadow Vortex	35
Dark Ember	Burn	35
Fayguard Bladecatcher	Word of Pain	35
Fayguard Parrying Dagger	Word of Pain	35
Fleshripper	Word of Shadow	35
Iceflame	Smolder	35
Journeyman's Walking Stick	Tashani	35
Master Wu's Trance Stick	Smite	35
Obtenebrate Claymore	Engulfing Darkness	35
Painbringer	Word of Pain	35
Rune Etched Icewurm Fang	Spirit Strike	35
Tserrina's Whip	Muscle Lock I	35
Wintry Club	Shock of Ice	35
Withered Totem of Widdershins	Malaisement	35
Dragon Horn Ykesha	Ykesha	36
Stormwood Battle Staff	Shock of Flame	36
Acid Etched War Sword	Ykesha	37
Scimitar of the Ykesha	Ykesha	37
Short Sword of the Ykesha	Ykesha	37
Runebladed Sword of Night	Shock of Spikes	38
BladeStorm, Katana of Steel Sleet	Rain of Swords	40
Crescent Blades of Luclin	Shadow	40
DawnFire, Morning Star of Light	Banish Undead	40
Frostbringer	Frostbite	40
Hammer of Rage	Yaulp	40
Howling Harpoon	Stun	40
Kunzar Ku'juch	Engulfing Darkness	40
Orb of Tishan	Tashania	40
Polished Obsidian Great Axe	Invoke Fear	40
Ropy Tendril	Stun	40
Sacrifice (item)	Cannibalize II	40
Spine Chill Spear	Shock of Ice	40
Staff of the Earthcrafter	Drones of Doom	40
Sword of Rile	Steelskin	40
Veldrak's Shortblade	Static Strike	40
Veridix's Shortsword	Force Shock	40
Warhammer of Divine Grace	Yaulp III	40
Ykeshan War Club	Ykesha	40
Boneshear	Boneshear	44
Darksight Dagger	Chill Sight	44
Frozen Shard	Affliction	44
Arydryidriyorn	Shield of Brambles	45
Chetari Wardstaff	Knockback	45
Dark Spear of Venom	Sicken	45
Earthshaker	Earthquake	45
Ebonsting	Project Lightning	45
Espri	Combust	45
Fiery Avenger	Flame Shock	45
Flamesong	Flamesong	45
Glowing Black Sword	Neutralize Magic	45
Greenmist	Greenmist	45
Harmonic Spear	Chant of Battle	45
Jagged Ice Shard	Shards of Sorrow	45
Lupine Dagger	Greater Wolf Form	45
Shrieking Ahlspiess	Yaulp II	45
Soul Leech, Dark Sword of Blood	Soul Leech	45
Sword of Skyfire	Rain of Fire	45
Thelvorn, Blade of Light	Dismiss Summoned	45
Thornstinger	Rampage	45
Thunder Runed Great Sword	Strike of Thunder	45
Trident of the Seven Seas	Frost Strike	45
Truesight Hammer	Banish Summoned	45
Truvinan	Dismiss Undead	45
Tserrina's Staff	Specter Lifetap	45
Vehement Sword of Reivaj	Rampage	45
Yannikil	Shield of Brambles	45
Zephyrwind	Dismiss Summoned	45
Black Blade of Tormenting	Torment	46
Blood Fire	Boil Blood	46
Brell's Keg Popper	Yaulp II	46
Fluxbladed Axe	Chaos Flux	46
Harmonic Dagger	Tishan's Clash	46
Locustlure	Walking Sleep	46
Nature's Wrath	Nature's Wrath	46
Natures Defender	Nature's Holy Wrath	46
Runed Blade	Rune III	46
Sarnak Warhammer	Stun	46
Sceptre of Destruction	Anarchy	46
Singing Short Sword	Dance of the Blade	46
Smolder	Inferno Shock	46
Soul Binder	Soul Bond	46
Staff of Undead Legions	Banish Undead	46
Swarmcaller	Tagar's Insects	46
Throneblade of the Ykesha	Ykesha	46
Anklesmasher	Snare	49
Baton of Royal Stature	Stunning Blow	49
Fester	Flesh Rot II	49
Herbalist's Spade	Paralyzing Earth	49
Jeldorin	Knight's Blessing	49
Oakleaf Scimitar	Engulfing Roots	49
Rabid Chokidai Fang	Injected Poison I	49
Salindrite Dagger	Thunder Strike	49
Sap Encrusted Branch	Ensnare	49
Sarnak Lightning Caller	Careless Lightning	49
Sarnak Summoner`s Dagger	Blaze	49
Writ of Di`zok	Shiftless Deeds	49
Adamantite Club	Stunning Blow	50
Blade of Falling Stars	Frost Shards	50
Blade of Strategy	Rage of Vallon	50
Blade of the Black Dragon Eye	Envenomed Breath	50
Blade of the Swarm	Swarming Pain	50
Blood Point	Siphon	50
Chelaki Tail	Strong Disease	50
Clawed Griffin Sword	Frost Strike	50
Club of the Ice Ocean	Frost Strike	50
Cracked Claw of Zlandicar	Incapacitate	50
Dawncaller, Blade of the Morning	Dawncall	50
Earthcaller	Earthcall	50
Efreeti Ice Staff	Frostbite	50
Engraved Di'Zok Deathbringer	Expel Undead	50
Ethereal Bladed Naginata	Garzicor's Vengeance	50
Fangol	Fangol's Breath	50
Felhammer	Smite	50
Feverblade - Bane of the Shissar	Sebilite Pox	50
Fiery Defender	Holy Shock	50
Frostreaver	Judgment of Ice	50
Frostwrath	Frost Strike	50
Frozen Zweihander	Frost Shock	50
Gorgon Head Staff	Tishan's Clash	50
Great Spear of Dawn	Dawncall	50
Guardians Mace	Guard	50
Howling Cutlass	Shrieking Howl	50
Ikatiar's Stinger	Ikatiar's Revenge	50
Innoruuk's Curse	Soul Consumption	50
Jagged Blade of War	Rage of Zek	50
Khyldorn the Blood Drinker	Siphon	50
Maelstrom	Storm Strike	50
Malevolent Runeblade	Froglok Poison	50
Melodious Truncheon	Melodious Befuddlement	50
Neb's Warbone	Bone Melt	50
Nightfall	Dooming Darkness	50
Obtenebrate Short Sword	Dooming Darkness	50
Paebala Warbone	Bone Melt	50
Poison Wind Censer	Gale of Poison	50
Razor Fang of Xygoz	Blessing of Nature	50
Rheumguls	Siphon	50
Ringed Mace of the Ykesha	Ykesha	50
Rod of Lamentation	Force	50
Rod of Mourning	Force	50
Scimitar of the Mistwalker	Mistwalker	50
Shieldstorm	Spirit Armor	50
Silken Whip of Ensnaring	Snare	50
Smoldering Cudgel	Blaze	50
Soul Defiler	Call of Bones	50
Spear of Constriction	Ensnare	50
Star of the Guardian	Guard	50
Stave of Shielding	Major Shielding	50
Steel Hilted Flint Dagger	Conflagration	50
Sword of the Morning	Tishan's Clash	50
Sword of the Shissar	Envenomed Breath	50
Symphonic Saber	Symphonic Harmony	50
The Scimitar of Lifestealing	Spirit Tap	50
Theurgist's Star	Blessing of the Theurgist	50
Theurgist	Blessing of the Theurgist	50
Ton Po's Bo Stick of Understanding	One Hundred Blows	50
Tranquil Staff	One Hundred Blows	50
Trident of the Deep Sea	Waves of the Deep Sea	50
Truncheon of Doom	Tepid Deeds	50
Wand of the Black Dragon Eye	Envenomed Breath	50
Warding Star	Guard	50
Willsapper	Energy Sap	50
Worker Sledgemallet	Overthere	50
Ykeshan Broad Axe	Ykesha	50
Zealot's Incarnadine Sword	Soul Bond	50
Blade of Shadowed Flame	Firestrike	51
Di`zok Oracle Shillelagh	Togor's Insects	51
Essence Mace	Essence Tap	55
Fellspine's Tail	Fellspine	55
