planner_item_id	peq_item_id	item_name	icon_id
136	12270	A Sealed Letter	682
137	12270	A Sealed Letter	866
138	18835	A Sealed List	866
139	10406	A Shimmering Orb	973
140	10085	A Shining Stone	945
141	16545	A Shovel	891
142	18170	A Singed Scroll	861
143	12826	A Skeleton Fist	743
144	17034	A Skull Chest	609
145	18824	A Slip of Parchment	870
146	9968	A Smelly Sealed Bag	539
147	12349	A Sparkling Sapphire	968
148	10013	A Special Fire Emerald	962
149	14018	A Spider Venom Sac	819
150	16849	A Split Paw	743
151	12191	A Spore Mushroom	854
152	12710	A Steel Key	1081
153	12708	A Stone Key	1079
154	19985	A Strange Dark Fungus	819
155	16548	A Strategic Map of Kithicor	504
156	0	A Tattered Book	865
157	18052	A Tattered Note	504
158	18052	A Tattered Note	504
159	16546	A Torch	547
160	12955	A Tump Stump	978
161	11952	A Twisted Stalk	1222
162	13351	A Very Large Pelt	554
163	1794	A Vile Substance	1158
164	11543	A Weighted Axe	1164
165	13239	A Werebat Wing	791
166	24563	A White Crown	653
167	24564	A White Knight	654
168	24565	A White Squire	649
169	24562	A White Throne	651
170	11950	A Wolf Scale	1233
171	12334	A Wooden Heart	1003
172	9979	A Worn Candle	1127
173	18905	A Worn Rune	504
174	12890	A Yellow Whip	596
175	18314	A captured message	869
176	1863	A chipped fang	1227
177	10538	A fungus eye	885
178	18944	A note	864
179	7331	A shadowed knife	592
180	10534	A skeletal finger	804
181	10533	A skeletal toe	804
182	16548	A Strategic Map of Kithicor	504
183	18052	a tattered note	504
184	4413	Abalone Gorget	626
185	12278	Abandoned Orc Shovel	891
186	31242	Abashi`s Rod of Disempowerment	602
187	0	Abhorrent Powder	1074
188	2187	Abjurer's Earring	756
189	18963	About Ogre Splintmail	504
190	18948	About Seafarer Ringmail	504
191	1715	Abram's Axe of the Stoic	1166
192	14058	Aching Blood	806
193	5656	Acid Etched War Sword	1177
194	14087	Acidic Dissolver	806
195	20736	Acidic Venom	1006
196	1731	Acolyte's Anklet	1124
197	16497	Acorn Oil	1006
198	2366	Acumen Mask	1063
199	14749	Adamantite Armband	521
200	10151	Adamantite Band	878
201	6656	Adamantite Bo Stick	602
202	10471	Adamantite Chain Jointing	620
203	6604	Adamantite Club	737
204	4402	Adamantite Epaulets	798
205	10493	Adamantite Rings	1032
206	20828	Adamantium Bands	873
207	30163	Adamantium Coldain Insignia Ring	614
208	20774	Adamantium Earring	534
209	1467	Adarra's bow of the Unseen	1104
210	1467	Adarra's Bow of the Unseen	1104
211	14454	Adrenaline Tap	697
212	20946	Adumbrate Globe	947
213	1358	Advisor Robe	1126
214	30504	Aegis of Ice	972
215	12238	Aegis of Life	805
216	27716	Aegis of the Wind	758
217	4321	Aerated Pauldrons	798
218	6965	Aged Filthy Bastard Sword	519
219	20967	Aged Nectar	1006
220	27039	Aged Velium Claidhmore	1211
221	14564	Agilmente's Flute of Flight	751
222	9969	Aglthin's Fishing Pole	1143
223	14233	Agrimony	1197
224	13271	Air Tight Box	1144
225	31146	Akkirus' Boots of the Risen	524
226	31143	Akkirus' Bracelet of the Risen	516
227	6881	Akkirus' Chestplate of the Risen	624
228	31140	Akkirus' Crown of the Risen	523
229	31528	Akkirus' Custom Crown of the Risen	523
230	31144	Akkirus' Gauntlets of the Risen	531
231	31145	Akkirus' Greaves of the Risen	540
232	31142	Akkirus' Vambraces of the Risen	622
233	31233	Akkirus` Mask of Warfare	772
234	1271	Al`Kabor's Cap of Binding	641
235	20877	Albino Rattlesnake Eggs	871
236	27708	Aldryn, Blade of the Ocean	890
237	13039	Ale	710
238	1736	Algae Covered Flesh	823
239	19153	Algae Spices	881
240	16508	Alkanet Root	795
241	10160	Alligator Egg	969
242	14947	Alligator Eggs	871
243	13749	Alligator Skin	813
244	10161	Alligator Tooth Earring	800
245	14199	Allize Volew Medicine Bag	739
246	14220	Allspice	1201
247	20530	Alluring Horn	594
248	16992	Alocasia Root	583
249	0	Aloe	1200
250	12357	Aloe Swatch	812
251	16830	Amanita Phalloide	1206
252	10022	Amber	951
253	27222	Amcilla's Talisman	510
254	20750	Amethyst Amulet	752
255	10149	Amethyst Bracelet	520
256	14081	Amnesic Lolium	808
257	2411	Amstaf's Scroll	682
258	30515	Amulet of Insight	1053
259	11646	Amulet of Necropotence	510
260	14556	Amulet of Planar Transference	566
261	20827	Amulet of Woven Hair	754
262	31318	Amulet of the Dreadgazer	754
263	27723	Amulet of the Fae	1043
264	27726	Amulet of the Fang	1043
265	27705	Amulet of the Sphinx Eye	753
266	31330	Amulet of the Storm	1058
267	27710	Amulet of the Void	566
268	5520	Amygdalan Tendril	596
269	13725	An Alligator Tooth	803
270	12899	An Emerald	958
271	12854	An Illegible Note	504
272	12709	An Iron Key	1081
273	0	An Oaken Scimitar	604
274	18143	An Old Delivered Book	865
275	12821	An Outlander's Head	980
276	1781	An encrypted document	682
277	20667	Ancient Sword Blade	890
278	12770	Ancient Coin	645
279	31344	Ancient Fire Etched Flamberge	519
280	24727	Ancient Fishing Pole	749
281	24917	Ancient Leather Boots	633
282	24918	Ancient Leather Bracelet	637
283	24919	Ancient Leather Cap	640
284	24920	Ancient Leather Gloves	636
285	24915	Ancient Leather Leggings	635
286	24916	Ancient Leather Sleeves	634
287	24914	Ancient Leather Tunic	632
288	20477	Ancient Longsword	590
289	18960	Ancient Pattern	504
290	31313	Ancient Pirate's Eyepatch	595
291	20688	Ancient Rock	734
292	1714	Ancient Rusted Key	1079
293	24736	Ancient Seahorse Hide Cloak	661
294	4582	Ancient Shissar Gauntlet	531
295	24924	Ancient Silk Boots	633
296	24927	Ancient Silk Gloves	517
297	24922	Ancient Silk Pantaloons	631
298	24921	Ancient Silk Robe	1126
299	24923	Ancient Silk Sleeves	670
300	24926	Ancient Silk Turban	1121
301	24925	Ancient Silk Wristband	638
302	6950	Ancient Snake Fang	801
303	6948	Ancient Snake Rattle	1122
304	6947	Ancient Snake Skin	813
305	20667	Ancient Sword Blade	890
306	24900	Ancient Tarnished Breastplate	624
307	24910	Ancient Tarnished Chain Boots	844
308	24911	Ancient Tarnished Chain Bracer	620
309	24912	Ancient Tarnished Chain Coif	625
310	24913	Ancient Tarnished Chain Gauntlets	846
311	24908	Ancient Tarnished Chain Leggings	630
312	24909	Ancient Tarnished Chain Sleeves	543
313	24907	Ancient Tarnished Chain Tunic	538
314	24901	Ancient Tarnished Greaves	540
315	24903	Ancient Tarnished Plate Boots	545
316	24904	Ancient Tarnished Plate Bracelet	671
317	24906	Ancient Tarnished Plate Gauntlets	531
318	24905	Ancient Tarnished Plate Helmet	746
319	24902	Ancient Tarnished Vambraces	546
320	12429	Ancient Thin Flute	1022
321	6949	Ancient Venom Sack	818
322	31332	Ancient Wurm Hide Greaves	635
323	31333	Ancient Wurm Hide Robe	931
324	31388	Ancient Wyvern Hide Boots	633
325	31386	Ancient Wyvern Hide Leggings	635
326	31387	Ancient Wyvern Hide Sleeves	634
327	31385	Ancient Wyvern Hide Tunic	632
328	12018	Animal Cookie Mold	1151
329	20923	Animal Figurine	895
330	13486	Animal Shaped Cookie	785
331	13436	Animal Shaped Cookie Cutter	1008
332	16912	Animal Template	861
333	16864	Animated Bait	766
334	9981	Animated Shield	676
335	9977	Animated Sword2	569
336	9975	Animated Sword4	519
337	5717	Anklesmasher	903
338	14441	Ant's Potion	698
339	14055	Anti-Element	806
340	10308	Anti-Poison Amulet	566
341	10350	Antiqued Silver Band	880
342	25084	Antlered Mask	771
343	21518	Antonian Javelin	776
344	21549	Antonian Long Sword	590
345	1245	Apothic Boots	633
346	1239	Apothic Crown	523
347	1243	Apothic Gloves	636
348	1244	Apothic Kilt	843
349	1240	Apothic Robe	930
350	1241	Apothic Sleeves	634
351	1242	Apothic Warband	516
352	20659	Apprentice Ring	1148
353	15902	Apprentice Rune (Azia)	967
354	15903	Apprentice Rune (Beza)	967
355	15917	Apprentice Rune (Complete)	967
356	4260	Apprentice Skullcap - 1st Rank	1070
357	4261	Apprentice Skullcap - 2nd Rank	1070
358	4262	Apprentice Skullcap - 3rd Rank	1070
359	28067	Aqua Goblin Backbone	907
360	28062	Aqua Goblin Blood Vial	1159
361	27662	Aqua Goblin Foot	743
362	28066	Aqua Goblin Head	920
363	27660	Aqua Goblin Headdress	1237
364	27667	Aqua Goblin Tongue	1087
365	16873	Aqualung	1023
366	16017	Aquamarine	946
367	14334	Arantir's Ring	1064
368	5612	Arbitor's Combine Greatsword	519
369	1712	Arcanum of Rosh	778
370	31076	Arch Mage's Boots	633
371	31070	Arch Mage's Crown	523
372	31074	Arch Mage's Gloves	636
373	31075	Arch Mage's Pantaloons	635
374	31071	Arch Mage's Robe	930
375	31072	Arch Mage's Sleeves	634
376	31073	Arch Mage's Warband	516
377	17405	Archeologist Pack	884
378	19125	Arctic King Crab	926
379	19122	Arctic Mussels	998
380	19123	Arctic Scallop	998
381	24818	Arctic Wyvern Belt	564
382	24823	Arctic Wyvern Boots	633
383	24817	Arctic Wyvern Cloak	660
384	24821	Arctic Wyvern Gloves	636
385	24814	Arctic Wyvern Gorget	643
386	28511	Arctic Wyvern Hide	835
387	24822	Arctic Wyvern Leggings	635
388	24813	Arctic Wyvern Mask	771
389	24816	Arctic Wyvern Shoulderpads	668
390	24812	Arctic Wyvern Skullcap	640
391	24819	Arctic Wyvern Sleeves	634
392	24815	Arctic Wyvern Tunic	632
393	24820	Arctic Wyvern Wristbands	637
394	25179	Arena Ticket	867
395	5622	Argent Defender	1176
396	5840	Argent Protector	1176
397	9912	Armadillo Carapace	927
398	13163	Armadillo Hide	680
399	19195	Armadillo Husk	680
400	19194	Armadillo Meat	817
401	19189	Armadillo Simmer Ale	829
402	9915	Armadillo Tooth	802
403	9915	Armadillo Tooth	802
404	18113	Armor and Weapons Guide	778
405	8005	Arrow	598
406	10763	Arrow Shaft Mold	1151
407	12323	Arrow of Acknowledgment	598
408	12326	Arrow of Bravery	598
409	8303	Arrow of Contagion	598
410	12324	Arrow of Defiance	598
411	8300	Arrow of Fire	598
412	12327	Arrow of Fortitude	598
413	8304	Arrow of Frost	598
414	12325	Arrow of Gallantry	598
415	8301	Arrow of Lightning	598
416	8302	Arrow of Poison	598
417	12322	Arrow of Recognition	598
418	8305	Arrow of Stunning	598
419	18279	Art of Idol Sculpting	870
420	27732	Arydryidriyorn	575
421	16835	Ash Hornet Venom	819
422	5517	Ashenbone Abbasi	1165
423	5518	Ashenbone Axe	1164
424	9402	Ashenbone Shield	974
425	0	Ashenbone Warhammer	581
426	7308	Ashenwood Short Spear	740
427	16991	Ashroot	583
428	14927	Ashweed	795
429	8082	Ashwood Bow Staff	601
430	16997	Asmag Weed	911
431	14033	Asp Poison	808
432	16984	Asp Poison Sac	820
433	25485	Assassin's Boots	779
434	25482	Assassin's Bracer	620
435	25484	Assassin's Chain Leggings	630
436	25481	Assassin's Chain Sleeves	543
437	25480	Assassin's Chestguard	538
438	25479	Assassin's Coif	625
439	25483	Assassin's Gauntlets	526
440	2426	Assembled Naginata	736
441	2573	Astral Cloak of the Titans	839
442	2575	Astral Leggings of the Titans	635
443	0	Athropic Sap	808
444	27216	Atpaev's Talisman	510
445	9408	Atramentous Shield	676
446	14057	Atrophic Sap	808
447	20934	Auburn Tessera	734
448	20741	Augmentor's Gem	1136
449	1272	Augmentor's Mask	528
450	12414	Autopsy Apron	564
451	5415	Avenger Battle Axe	568
452	13737	Aviak Charm	1056
453	12157	Aviak Chick Talon	1067
454	16549	Aviak Egg Oil	1006
455	14968	Aviak Eggs	871
456	13339	Aviak Feather	514
457	13160	Aviak Feathers	1146
458	12158	Aviak Talon	1067
459	20915	Avian Key	1146
460	5007	Axe	573
461	22077	Axe Head Mold	1151
462	5658	Axe of Lost Souls	1164
463	31357	Axe of Resistance	569
464	25004	Axe of the Frost	1166
465	11546	Axe of the Iron Back	1166
466	25196	Axe of the Kromzek Kings	1166
467	5365	Axe of the Slayers	1167
468	29330	Ayill's Aged Stone Shield	1244
469	27249	Ayillish's Talisman	510
470	19158	Azure Algae	539
471	20971	Azure Ring	1045
472	14551	Azure Ruby Ring	612
473	1361	Azure Sleeves	669
474	20930	Azure Tessera	734
475	1698	Azurite Focus	946
476	1528	Azzar's Dreadful Hat	1121
477	12204	Baby Joseph Sayer	720
478	13874	Baby Shark Remains	814
479	27714	Back Straps of Mastery	665
480	17005	Backpack	565
481	12089	Backpack Pattern	504
482	17975	Bag for Cutthroat Rings	690
483	1838	Bag of Bread Loaves	557
484	14938	Bag of Caynar Nuts	773
485	24860	Bag of Crushed Herbs	539
486	13887	Bag of Eyes n Bones	690
487	13898	Bag of Ice Necklaces	690
488	20459	Bag of Provisions	557
489	14937	Bag of Sea Salt	881
490	24863	Bag of Seeds	539
491	17354	Bag of Sewn Evil-Eye	689
492	13876	Bag of Shark Remains	690
493	13889	Bag of Snake Parts	690
494	24861	Bag of Sulfur	539
495	13703	Bag of Troll Guts	797
496	17403	Bag of the Tinkerers	557
497	13194	Baking Spirits	788
498	11940	Balanced Fer`Esh	1174
499	11938	Balanced Shan`Tok	1185
500	11942	Balanced Sheer Blade	1186
501	27012	Balanced Velium Warsword	575
502	20116	Ball of Burlap Yarn	1140
503	20677	Ball of Everliving Golem	971
504	14315	Ball of Golem Clay	695
505	24738	Ball of Kelp	734
506	25307	Ball of Velium	507
507	16527	Balm Leaves	795
508	6665	Bamboo Bo Stick	602
509	6908	Bamboo Bokken	601
510	6973	Bamboo Shoot	583
511	1507	Bamboo Splint Boots	545
512	1504	Bamboo Splint Bracelet	620
513	1497	Bamboo Splint Cape	661
514	1495	Bamboo Splint Coat	538
515	1492	Bamboo Splint Coif	625
516	1505	Bamboo Splint Gloves	526
517	1496	Bamboo Splint Mantle	769
518	1494	Bamboo Splint Neckguard	627
519	1506	Bamboo Splint Pants	540
520	1498	Bamboo Splint Skirt	562
521	1499	Bamboo Splint Sleeves	543
522	1493	Bamboo Splint Visor	770
523	6909	Bamboo Tanto Bo	601
524	6907	Bamboo Wakizashi Bo	601
525	2193	Band of Discipline	872
526	14738	Band of Eternal Flame	617
527	10352	Band of Flesh	873
528	13297	Band of Rodcet Nife	675
529	14561	Band of Screaming Winds	1148
530	13184	Band of Tunare	509
531	27713	Band of Wailing Winds	1148
532	13009	Bandages	812
533	3059	Banded Belt	562
534	3064	Banded Boots	545
535	3061	Banded Bracer	620
536	3058	Banded Cloak	661
537	3062	Banded Gauntlets	526
538	3055	Banded Gorget	627
539	3053	Banded Helm	625
540	3063	Banded Leggings	540
541	3056	Banded Mail	538
542	3057	Banded Mantle	769
543	3054	Banded Mask	770
544	12187	Banded Orc Vest	538
545	3060	Banded Sleeves	543
546	12100	Bandit Sash	935
547	17308	Bandoleer of Luclin	561
548	25408	Bangle of the Invoker	1044
549	12015	Barbarian Cookie Mold	1151
550	13249	Barbarian Femur	905
551	12225	Barbarian Head	980
552	12225	Barbarian Head	980
553	7050	Barbarian Hunting Spear	776
554	13248	Barbarian Jaw	906
555	21963	Barbarian Meat	817
556	13233	Barbarian Rib	907
557	13483	Barbarian Shaped Cookie	785
558	13433	Barbarian Shaped Cookie Cutter	1008
559	13247	Barbarian Skull	1070
560	11647	Barbarian Spiritist`s Hammer	581
561	16909	Barbarian Template	861
562	3302	Barbed Armplates	543
563	10516	Barbed Bone Chips	804
564	25029	Barbed Dragonscale Boots	633
565	25028	Barbed Dragonscale Pauldrons	798
566	5402	Barbed Leather Whip	596
567	3303	Barbed Legplates	540
568	25331	Barbed Ringmail	538
569	25334	Barbed Ringmail Gloves	526
570	25333	Barbed Ringmail Leggings	630
571	25337	Barbed Ringmail Shoulderpads	769
572	25332	Barbed Ringmail Sleeves	543
573	10899	Barbed Scale Whip	596
574	27033	Barbed Velium Spear	776
575	14580	Barbequed Erudite	816
576	14771	Bargynn's Digger	1203
577	14757	Bargynn's Torch	559
578	30063	Bark Bindings	1084
579	14519	Bark Potion	696
580	9350	Bark Shield	760
581	13379	Barkeep Compendium	778
582	16590	Barley	539
583	12174	Barma's Tongue	1087
584	3401	Barnacle-covered Pauldron	798
585	12194	Barnacle Breastplate	624
586	12779	Barracuda Bones	794
587	30059	Barracuda Liver	1236
588	12465	Barracuda Tooth	800
589	22761	Barren Flounder	775
590	31214	Barrier of Sound	972
591	4100	Basalt Carapace	927
592	19032	Basalt Drake Scales	733
593	18112	Basic Blacksmithing	778
594	18114	Basic Pottery	778
595	0	Basilisk Bracer	637
596	13164	Basilisk Egg	871
597	14950	Basilisk Eggs	871
598	16985	Basilisk Eye Stalk	819
599	14034	Basilisk Poison	808
600	12160	Basilisk Tongue	1087
601	11535	Basoon Haste Gauntlets	531
602	5004	Bastard Sword	577
603	13069	Bat Fur	792
604	26003	Bat Fur Belt	564
605	13068	Bat Wing	791
606	10108	Batfang Headband	548
607	1525	Bathide Wristband	638
608	6917	Batling Eye	885
609	6640	Baton of Faith	602
610	5838	Baton of Flame	822
611	5726	Baton of Royal Stature	686
612	10107	Batskull Earring	619
613	5003	Battle Axe	569
614	0	Battle Plans	869
615	13815	Battle Staff	601
616	5526	Battle Worn Halberd	736
617	0	Battleworn Canteen	830
618	13462	Batwing Crunchies	785
619	13599	Batwing Pie	1019
620	18808	Bayle List I	866
621	18809	Bayle List II	866
622	18810	Bayle List III	866
623	10009	Bead Necklace	848
624	10311	Beaded Slime Necklace	849
625	2904	Bear-hide Belt	564
626	2903	Bear-hide Boots	525
627	2902	Bear-hide Cape	841
628	2325	Bear-hide Jerkin	632
629	13404	Bear Meat	817
630	0	Bear Parts	817
631	19076	Bear Paw's Pelt	835
632	13472	Bear Sandwich	1020
633	25072	Bear Skins of Rage	632
634	13442	Bear Steaks	816
635	2314	Bearskin Gloves	636
636	17811	Bearskin Potion Bag	727
637	10356	Beartooth Necklace	849
638	14069	Beastchoker	806
639	11559	Beckon	579
640	13447	Beer Braised Bear	815
641	13450	Beer Braised Gator	815
642	13451	Beer Braised Lion	815
643	13448	Beer Braised Mammoth	815
644	13449	Beer Braised Rat	815
645	13446	Beer Braised Wolf	815
646	29117	Beer Stained Coldain Tunic	632
647	12612	Beetle Bake	787
648	13395	Beetle Eye Chest	608
649	13490	Beetle Eye Pie	1019
650	7229	Beetle Stinger	740
651	18037	Before Green	778
652	31077	Beguiler's Crown	511
653	31081	Beguiler's Gloves	636
654	31078	Beguiler's Robe	838
655	31079	Beguiler's Sleeves	634
656	31083	Beguiler's Slippers	666
657	31082	Beguiler's Trousers	635
658	31080	Beguiler's Wristguard	671
659	24746	Behemoth's Fangs	1179
660	2644	Beholder Optic Fluid	600
661	31325	Beldron's Vambraces of Impiety	546
662	13807	Belt Pattern	504
663	17002	Belt Pouch	561
664	12042	Belt Sectional Mold	1151
665	2920	Belt of Concordance	563
666	2921	Belt of Contention	563
667	25858	Belt of Dwarf Slaying	718
668	25060	Belt of Dwarfskulls	564
669	14780	Belt of Fire	564
670	2328	Belt of Flesh Hooks	560
671	6835	Belt of Inconsistency	564
672	2918	Belt of Iniquity	563
673	2917	Belt of Tranquility	563
674	2922	Belt of Transience	563
675	2919	Belt of Virtue	563
676	11957	Belt of the Cenobite	938
677	31334	Belt of the Destroyer	560
678	11673	Belt of the Four Winds	503
679	30072	Belt of the Great Turtle	503
680	2916	Belt of the Pine	563
681	14031	Belt of the River	572
682	1696	Bent Metallic Crystal	1092
683	14221	Benzoin	1199
684	9122	Berinsans Shirt	678
685	1461	Berradin's head	990
686	13045	Berries	1037
687	13493	Berry Pie	1019
688	25074	Berserker's Axe	1164
689	25541	Berserker's Boots	524
690	25538	Berserker's Bracer	516
691	25536	Berserker's Breastplate	624
692	25539	Berserker's Gauntlets	531
693	25540	Berserker's Greaves	540
694	25535	Berserker's Helm	746
695	25537	Berserker's Vambraces	622
696	1558	Berserkers Ring	1148
697	22142	Betherium Bark	1084
698	1550	Bile Etched Obsidian Choker	503
699	30514	Bindings of the Scribe	789
700	18106	Binelen's Quick Treats	778
701	18107	Binelen's Succulence	778
702	22822	Bioluminescent Orb	973
703	20924	Bird Whistle	510
704	16562	Birthday Cake	1065
705	16564	Birthday Cake Slice	1066
706	0	Birthwort	1200
707	16513	Bistort	795
708	25583	Bitter Blade of the Icepaw	590
709	20859	Bitter Honey	1006
710	13023	Bixie Berry Buns	1021
711	12676	Bixie Berry Pie	783
712	13464	Bixie Crunchies	785
713	20843	Bixie Essence	823
714	13499	Bixie Parts	817
715	14029	Bixie Stinger	1123
716	14029	Bixie Stinger	1123
717	20722	Bixie Sword Blade	591
718	13934	Bixie Wing	910
719	31426	Bjek's Head	920
720	3611	Black Alloy Girdle	563
721	3615	Black Alloy Medallion	753
722	28226	Black Bart's Spiced Rum	706
723	31202	Black Bear Pelt Cloak	842
724	0	Black Bees	1018
725	25091	Black Blade of Tormenting	1171
726	13107	Black Burrow Stout	827
727	4410	Black Chitin Leggings	540
728	1789	A Black Cod Card	651
729	1672	Black Dire Pelt	556
730	22118	Black Dye	1154
731	22132	Black Extract	1154
732	20728	Black Face Paint	1006
733	6817	Black Flower of Functionality	721
734	1678	Black Fur Boots	525
735	9508	A Black Gift Box	836
736	20988	Black Griffon Feather	1146
737	10116	Black Headband	938
738	13227	Black Heart	1003
739	16556	Black Henbane	1197
740	25574	Black Ice Boots	844
741	25549	Black Ice Leggings	610
742	25550	Black Ice Sleeves	669
743	25573	Black Ice Wrist Guard	671
744	3304	Black Iron Girdle	563
745	10353	Black Iron Medallion	753
746	1530	Black Lace Sash	572
747	1048	Black Leather Cloak	656
748	25805	Black Marble	956
749	20773	Black Nebulous Sapphire	963
750	22847	Black Panther Skin	556
751	24842	Black Pantherskin Belt	564
752	24847	Black Pantherskin Boots	633
753	24841	Black Pantherskin Cloak	660
754	24845	Black Pantherskin Gloves	636
755	24838	Black Pantherskin Gorget	643
756	24846	Black Pantherskin Leggings	635
757	24837	Black Pantherskin Mask	771
758	24840	Black Pantherskin Shoulderpads	668
759	24836	Black Pantherskin Skullcap	640
760	24843	Black Pantherskin Sleeves	634
761	24839	Black Pantherskin Tunic	632
762	24844	Black Pantherskin Wristbands	637
763	10012	Black Pearl	767
764	14673	Black Pearl Electrum Choker	1046
765	14675	Black Pearl Platinum Ring	1047
766	30336	Black Pearl Velium Ring	1047
767	31413	Black Rock Maul of Crushing	581
768	14933	Black Root	583
769	10036	Black Sapphire	965
770	14701	Black Sapphire Electrum Earring	1042
771	14703	Black Sapphire Platinum Necklace	1043
772	14700	Black Sapphire Silvered Necklace	1043
773	30350	Black Sapphire Velium Necklace	1043
774	12199	Black Shadow Tunic	538
